"message","date_time"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":53,""recordImported"":53,""recordsReceived"":53,""recordsImported"":53,""errorDetails"":null,""defectiveRowNos"":0}","01/06/2025, 00:00:24"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":57,""recordImported"":57,""recordsReceived"":57,""recordsImported"":57,""errorDetails"":null,""defectiveRowNos"":0}","02/06/2025, 00:00:26"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":30,""recordImported"":30,""recordsReceived"":30,""recordsImported"":30,""errorDetails"":null,""defectiveRowNos"":0}","03/06/2025, 00:00:19"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":37,""recordImported"":37,""recordsReceived"":37,""recordsImported"":37,""errorDetails"":null,""defectiveRowNos"":0}","04/06/2025, 00:00:19"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":46,""recordImported"":46,""recordsReceived"":46,""recordsImported"":46,""errorDetails"":null,""defectiveRowNos"":0}","05/06/2025, 00:00:21"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":55,""recordImported"":55,""recordsReceived"":55,""recordsImported"":55,""errorDetails"":null,""defectiveRowNos"":0}","06/06/2025, 03:00:25"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":100,""recordImported"":100,""recordsReceived"":100,""recordsImported"":100,""errorDetails"":null,""defectiveRowNos"":0}","07/06/2025, 00:00:42"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":36,""recordImported"":36,""recordsReceived"":36,""recordsImported"":36,""errorDetails"":null,""defectiveRowNos"":0}","08/06/2025, 00:00:17"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":49,""recordImported"":49,""recordsReceived"":49,""recordsImported"":49,""errorDetails"":null,""defectiveRowNos"":0}","09/06/2025, 00:00:17"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":29,""recordImported"":29,""recordsReceived"":29,""recordsImported"":29,""errorDetails"":null,""defectiveRowNos"":0}","10/06/2025, 00:00:12"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":31,""recordImported"":31,""recordsReceived"":31,""recordsImported"":31,""errorDetails"":null,""defectiveRowNos"":0}","11/06/2025, 00:00:17"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":31,""recordImported"":31,""recordsReceived"":31,""recordsImported"":31,""errorDetails"":null,""defectiveRowNos"":0}","12/06/2025, 00:00:15"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":46,""recordImported"":46,""recordsReceived"":46,""recordsImported"":46,""errorDetails"":null,""defectiveRowNos"":0}","13/06/2025, 00:00:17"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":16,""recordImported"":16,""recordsReceived"":16,""recordsImported"":16,""errorDetails"":null,""defectiveRowNos"":0}","14/06/2025, 00:00:11"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":33,""recordImported"":33,""recordsReceived"":33,""recordsImported"":33,""errorDetails"":null,""defectiveRowNos"":0}","15/06/2025, 00:00:15"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":54,""recordImported"":54,""recordsReceived"":54,""recordsImported"":54,""errorDetails"":null,""defectiveRowNos"":0}","16/06/2025, 00:00:22"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":12,""recordImported"":12,""recordsReceived"":12,""recordsImported"":12,""errorDetails"":null,""defectiveRowNos"":0}","17/06/2025, 00:00:09"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":27,""recordImported"":27,""recordsReceived"":27,""recordsImported"":27,""errorDetails"":null,""defectiveRowNos"":0}","18/06/2025, 00:00:12"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":10,""recordImported"":10,""recordsReceived"":10,""recordsImported"":10,""errorDetails"":null,""defectiveRowNos"":0}","19/06/2025, 00:00:08"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":30,""recordImported"":30,""recordsReceived"":30,""recordsImported"":30,""errorDetails"":null,""defectiveRowNos"":0}","20/06/2025, 00:00:16"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":21,""recordImported"":21,""recordsReceived"":21,""recordsImported"":21,""errorDetails"":null,""defectiveRowNos"":0}","21/06/2025, 00:00:14"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":41,""recordImported"":41,""recordsReceived"":41,""recordsImported"":41,""errorDetails"":null,""defectiveRowNos"":0}","22/06/2025, 00:00:15"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":27,""recordImported"":27,""recordsReceived"":27,""recordsImported"":27,""errorDetails"":null,""defectiveRowNos"":0}","23/06/2025, 00:00:14"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":27,""recordImported"":27,""recordsReceived"":27,""recordsImported"":27,""errorDetails"":null,""defectiveRowNos"":0}","24/06/2025, 00:00:14"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":14,""recordImported"":14,""recordsReceived"":14,""recordsImported"":14,""errorDetails"":null,""defectiveRowNos"":0}","25/06/2025, 00:00:10"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":10,""recordImported"":10,""recordsReceived"":10,""recordsImported"":10,""errorDetails"":null,""defectiveRowNos"":0}","26/06/2025, 00:00:10"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":29,""recordImported"":29,""recordsReceived"":29,""recordsImported"":29,""errorDetails"":null,""defectiveRowNos"":0}","27/06/2025, 00:00:16"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":43,""recordImported"":43,""recordsReceived"":43,""recordsImported"":43,""errorDetails"":null,""defectiveRowNos"":0}","28/06/2025, 00:00:17"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":60,""recordImported"":60,""recordsReceived"":60,""recordsImported"":60,""errorDetails"":null,""defectiveRowNos"":0}","29/06/2025, 00:00:21"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":24,""recordImported"":24,""recordsReceived"":24,""recordsImported"":24,""errorDetails"":null,""defectiveRowNos"":0}","30/06/2025, 00:00:14"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":18,""recordImported"":18,""recordsReceived"":18,""recordsImported"":18,""errorDetails"":null,""defectiveRowNos"":0}","01/07/2025, 00:00:11"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":35,""recordImported"":35,""recordsReceived"":35,""recordsImported"":35,""errorDetails"":null,""defectiveRowNos"":0}","02/07/2025, 00:00:18"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":11,""recordImported"":11,""recordsReceived"":11,""recordsImported"":11,""errorDetails"":null,""defectiveRowNos"":0}","03/07/2025, 00:00:11"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":64,""recordImported"":64,""recordsReceived"":64,""recordsImported"":64,""errorDetails"":null,""defectiveRowNos"":0}","05/07/2025, 00:00:23"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":16,""recordImported"":16,""recordsReceived"":16,""recordsImported"":16,""errorDetails"":null,""defectiveRowNos"":0}","06/07/2025, 00:00:12"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":32,""recordImported"":32,""recordsReceived"":32,""recordsImported"":32,""errorDetails"":null,""defectiveRowNos"":0}","07/07/2025, 00:00:16"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":15,""recordImported"":15,""recordsReceived"":15,""recordsImported"":15,""errorDetails"":null,""defectiveRowNos"":0}","08/07/2025, 00:00:10"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":18,""recordImported"":18,""recordsReceived"":18,""recordsImported"":18,""errorDetails"":null,""defectiveRowNos"":0}","09/07/2025, 00:00:13"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":26,""recordImported"":26,""recordsReceived"":26,""recordsImported"":26,""errorDetails"":null,""defectiveRowNos"":0}","10/07/2025, 00:00:12"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":30,""recordImported"":30,""recordsReceived"":30,""recordsImported"":30,""errorDetails"":null,""defectiveRowNos"":0}","11/07/2025, 00:00:14"
